Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
16;19700170610;"IEEE Transactions on Smart Grid";journal;"19493053";"Institute of Electrical and Electronics Engineers Inc.";No;No;4,608;Q1;253;470;1272;19087;16366;1272;11,84;40,61;26,56;0;170;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2010-2025";"Computer Science (miscellaneous) (Q1)";"Computer Science"
17;100147317;"Journal of Supply Chain Management";journal;"15232409, 1745493X";"Wiley-Blackwell";No;No;4,562;Q1;119;19;59;1790;919;56;9,76;94,21;32,26;1;5;United States;Northern America;"Wiley-Blackwell";"1999-2025";"Economics, Econometrics and Finance (miscellaneous) (Q1); Information Systems (Q1); Management Information Systems (Q1); Marketing (Q1)";"Business, Management and Accounting; Computer Science; Economics, Econometrics and Finance"
18;19169;"Journal of Operations Management";journal;"18731317, 02726963";"John Wiley &amp; Sons Inc.";No;No;4,520;Q1;228;61;137;5247;1582;122;11,05;86,02;28,66;0;20;Netherlands;Western Europe;"John Wiley &amp; Sons Inc.";"1980-1991, 1993-2025";"Computer Science Applications (Q1); Industrial and Manufacturing Engineering (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences; Engineering"
19;21100200203;"Wiley Interdisciplinary Reviews: Computational Molecular Science";journal;"17590876, 17590884";"John Wiley &amp; Sons Inc.";No;No;4,501;Q1;116;43;165;7673;3623;163;22,59;178,44;25,90;0;4;United States;Northern America;"John Wiley &amp; Sons Inc.";"2011-2025";"Biochemistry (Q1); Computational Mathematics (Q1); Computer Science Applications (Q1); Materials Chemistry (Q1); Physical and Theoretical Chemistry (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Computer Science; Materials Science; Mathematics"
20;12402;"MIS Quarterly: Management Information Systems";journal;"02767783, 21629730";"Management Information Systems Research Center";No;No;4,486;Q1;283;64;204;5987;2041;203;5,80;93,55;29,32;0;18;United States;Northern America;"Management Information Systems Research Center";"1980-2024";"Computer Science Applications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Management Information Systems (Q1)";"Business, Management and Accounting; Computer Science; Decision Sciences"
21;18933;"IEEE Transactions on Wireless Communications";journal;"15361276, 15582248";"Institute of Electrical and Electronics Engineers Inc.";No;No;4,454;Q1;264;1392;2007;60786;27257;2007;12,26;43,67;27,95;0;132;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2000, 2002-2025";"Applied Mathematics (Q1); Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering; Mathematics"
22;21100274221;"IEEE Transactions on Cybernetics";journal;"21682275, 21682267";"IEEE Advancing Technology for Humanity";No;No;4,450;Q1;208;699;2284;33184;31927;2284;13,67;47,47;29,23;0;47;United States;Northern America;"IEEE Advancing Technology for Humanity";"2013-2025";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Human-Computer Interaction (Q1); Information Systems (Q1); Software (Q1)";"Computer Science; Engineering"
23;18935;"IEEE Wireless Communications";journal;"15361284";"Institute of Electrical and Electronics Engineers Inc.";No;No;4,406;Q1;198;214;443;3025;5631;402;11,42;14,14;25,95;0;25;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2002-2025";"Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
24;21101012669;"npj Digital Medicine";journal;"23986352";"Nature Publishing Group";Yes;No;4,164;Q1;104;370;588;18345;9141;517;14,67;49,58;37,67;9;96;United Kingdom;Western Europe;"Nature Publishing Group";"2018-2025";"Computer Science Applications (Q1); Health Informatics (Q1); Health Information Management (Q1); Medicine (miscellaneous) (Q1)";"Computer Science; Health Professions; Medicine"
25;26099;"Information Fusion";journal;"18726305, 15662535";"Elsevier B.V.";No;No;4,128;Q1;179;510;670;37954;15732;660;22,65;74,42;29,47;2;86;Netherlands;Western Europe;"Elsevier B.V.";"2000-2025";"Hardware and Architecture (Q1); Information Systems (Q1); Signal Processing (Q1); Software (Q1)";"Computer Science"
26;5900153311;"IEEE Journal on Selected Topics in Signal Processing";journal;"19324553";"Institute of Electrical and Electronics Engineers Inc.";No;No;4,120;Q1;152;118;315;5909;4908;306;15,70;50,08;25,39;0;9;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2007-2025";"Electrical and Electronic Engineering (Q1); Signal Processing (Q1)";"Computer Science; Engineering"
27;21101136681;"Internet of Things and Cyber-Physical Systems";journal;"26673452";"KeAi Communications Co.";Yes;No;3,952;Q1;23;28;49;1693;1755;48;38,25;60,46;28,21;0;14;China;Asiatic Region;"KeAi Communications Co.";"2021-2024";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering"
28;21100466714;"International Journal of Educational Technology in Higher Education";journal;"23659440";"Springer Netherlands";Yes;Yes;3,912;Q1;77;64;189;4480;4081;185;22,57;70,00;46,88;6;22;Netherlands;Western Europe;"Springer Netherlands";"2016-2025";"Computer Science Applications (Q1); Education (Q1); E-learning (Q1)";"Computer Science; Social Sciences"
29;24254;"IEEE Transactions on Pattern Analysis and Machine Intelligence";journal;"01628828";"IEEE Computer Society";No;No;3,910;Q1;435;812;2070;65710;47377;2059;21,19;80,92;27,12;0;15;United States;Northern America;"IEEE Computer Society";"1978-2025";"Applied Mathematics (Q1); Artificial Intelligence (Q1); Computational Theory and Mathematics (Q1); Computer Vision and Pattern Recognition (Q1); Software (Q1)";"Computer Science; Mathematics"
