Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
273;18174;"Control Engineering Practice";journal;"09670661";"Elsevier Ltd";No;No;1,309;Q1;139;293;672;12161;4134;667;5,96;41,51;22,87;0;82;United Kingdom;Western Europe;"Elsevier Ltd";"1993-2025";"Applied Mathematics (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1)";"Computer Science; Engineering; Mathematics"
274;19700170417;"Journal of Information Technology and Politics";journal;"19331681, 1933169X";"Routledge";No;No;1,300;Q1;54;76;95;4272;470;89;4,49;56,21;47,88;4;21;United States;Northern America;"Routledge";"2008-2025";"Computer Science (miscellaneous) (Q1); Public Administration (Q1); Sociology and Political Science (Q1)";"Computer Science; Social Sciences"
275;21101209857;"IEEE Journal on Selected Areas in Information Theory";journal;"26418770";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,297;Q1;28;51;225;2548;853;213;3,14;49,96;24,83;0;1;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2020-2025";"Applied Mathematics (Q1); Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Media Technology (Q1)";"Computer Science; Engineering; Mathematics"
276;18171;"Computers and Structures";journal;"00457949";"Elsevier Ltd";No;No;1,296;Q1;168;254;435;14611;2419;435;5,32;57,52;21,28;0;17;United Kingdom;Western Europe;"Elsevier Ltd";"1971-2025";"Civil and Structural Engineering (Q1); Computer Science Applications (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Modeling and Simulation (Q1)";"Computer Science; Engineering; Materials Science; Mathematics"
277;21101066249;"IEEE Open Journal of Intelligent Transportation Systems";journal;"26877813";"Institute of Electrical and Electronics Engineers Inc.";Yes;No;1,296;Q1;21;64;171;3003;1055;167;6,33;46,92;15,42;0;33;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2020-2025";"Automotive Engineering (Q1); Computer Science Applications (Q1); Mechanical Engineering (Q1)";"Computer Science; Engineering"
278;23715;"Science Technology and Human Values";journal;"01622439, 15528251";"SAGE Publications Inc.";No;No;1,290;Q1;96;97;179;5946;757;163;3,83;61,30;62,42;2;44;United States;Northern America;"SAGE Publications Inc.";"1976-2025";"Anthropology (Q1); Economics and Econometrics (Q1); Engineering (miscellaneous) (Q1); Human-Computer Interaction (Q1); Philosophy (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)";"Arts and Humanities; Computer Science; Economics, Econometrics and Finance; Engineering; Social Sciences"
279;21100338508;"IEEE Transactions on Emerging Topics in Computing";journal;"21686750";"IEEE Computer Society";No;No;1,284;Q1;67;149;433;4588;2680;418;5,95;30,79;22,57;0;26;United States;Northern America;"IEEE Computer Society";"2013-2025";"Computer Science Applications (Q1); Computer Science (miscellaneous) (Q1); Human-Computer Interaction (Q1); Information Systems (Q1)";"Computer Science"
280;18121;"ACM Transactions on Software Engineering and Methodology";journal;"15577392, 1049331X";"Association for Computing Machinery (ACM)";No;No;1,283;Q1;91;188;342;15647;2365;339;6,51;83,23;28,79;1;7;United States;Northern America;"Association for Computing Machinery (ACM)";"1992-2025";"Software (Q1)";"Computer Science"
281;19170;"Industrial Management and Data Systems";journal;"02635577";"Emerald Group Publishing Ltd.";No;No;1,279;Q1;132;128;359;10469;2728;349;6,50;81,79;37,24;0;43;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1980-2025";"Computer Science Applications (Q1); Industrial and Manufacturing Engineering (Q1); Industrial Relations (Q1); Management Information Systems (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Computer Science; Engineering"
282;11300153734;"IEEE Systems Journal";journal;"19379234, 19328184";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,276;Q1;114;213;1673;7908;9656;1660;5,51;37,13;25,65;0;50;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2007-2025";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Information Systems (Q1)";"Computer Science; Engineering"
283;21100901150;"Data Science and Engineering";journal;"23641541, 23641185";"Springer International Publishing";Yes;Yes;1,273;Q1;32;33;86;1640;537;83;5,86;49,70;40,91;0;5;Switzerland;Western Europe;"Springer International Publishing";"2016-2025";"Artificial Intelligence (Q1); Computational Mechanics (Q1); Computer Science Applications (Q1); Information Systems (Q1); Software (Q1)";"Computer Science; Engineering"
284;25879;"International Journal of Molecular Sciences";journal;"14220067, 16616596";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;1,273;Q1;314;13722;47465;1088608;264696;46495;5,03;79,33;49,21;5;5634;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2000-2025";"Computer Science Applications (Q1); Inorganic Chemistry (Q1); Medicine (miscellaneous) (Q1); Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1); Spectroscopy (Q1); Catalysis (Q2); Molecular Biology (Q2)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry; Computer Science; Medicine"
285;21101072017;"Machine Intelligence Research";journal;"2731538X, 27315398";"Chinese Academy of Sciences";No;No;1,271;Q1;54;74;168;5359;1321;165;10,46;72,42;31,19;0;7;China;Asiatic Region;"Chinese Academy of Sciences";"2022-2025";"Applied Mathematics (Q1); Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Science Applications (Q1); Computer Vision and Pattern Recognition (Q1); Control and Systems Engineering (Q1); Modeling and Simulation (Q1); Signal Processing (Q1)";"Computer Science; Engineering; Mathematics"
286;23607;"Computerized Medical Imaging and Graphics";journal;"18790771, 08956111";"Elsevier Ltd";No;No;1,270;Q1;100;139;318;7203;2305;316;6,42;51,82;32,63;0;60;United Kingdom;Western Europe;"Elsevier Ltd";"1988-2025";"Computer Graphics and Computer-Aided Design (Q1); Computer Vision and Pattern Recognition (Q1); Health Informatics (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)";"Computer Science; Health Professions; Medicine"
287;21100909462;"BMJ Health and Care Informatics";journal;"26321009";"BMJ Publishing Group";Yes;No;1,263;Q1;49;57;197;1622;866;173;4,03;28,46;45,92;0;19;United Kingdom;Western Europe;"BMJ Publishing Group";"2019-2025";"Computer Science Applications (Q1); Health Informatics (Q1); Health Information Management (Q1)";"Computer Science; Health Professions; Medicine"
288;21100898535;"Internet Policy Review";journal;"21976775";"Alexander von Humboldt Institute for Internet and Society";Yes;Yes;1,263;Q1;39;44;128;2907;715;126;4,35;66,07;44,83;2;18;Germany;Western Europe;"Alexander von Humboldt Institute for Internet and Society";"2012-2025";"Communication (Q1); Computer Networks and Communications (Q1); Management, Monitoring, Policy and Law (Q1)";"Computer Science; Environmental Science; Social Sciences"
289;21100364916;"IEEE Transactions on Computational Social Systems";journal;"2329924X";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,257;Q1;68;793;595;39415;4547;580;7,27;49,70;31,66;0;154;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2014-2025";"Human-Computer Interaction (Q1); Modeling and Simulation (Q1); Social Sciences (miscellaneous) (Q1)";"Computer Science; Mathematics; Social Sciences"
290;23706;"Journal of Biomedical Informatics";journal;"15320480, 15320464";"Academic Press Inc.";No;No;1,257;Q1;137;171;680;8731;4025;623;5,62;51,06;38,48;1;55;United States;Northern America;"Academic Press Inc.";"2001-2025";"Computer Science Applications (Q1); Health Informatics (Q1)";"Computer Science; Medicine"
291;28457;"Computational Mechanics";journal;"14320924, 01787675";"Springer Verlag";No;No;1,256;Q1;127;182;424;11210;1901;420;4,27;61,59;17,09;0;20;Germany;Western Europe;"Springer Verlag";"1986-2025";"Applied Mathematics (Q1); Computational Mathematics (Q1); Computational Mechanics (Q1); Computational Theory and Mathematics (Q1); Mechanical Engineering (Q1); Ocean Engineering (Q1)";"Computer Science; Engineering; Mathematics"
292;21100338351;"IEEE Transactions on Cloud Computing";journal;"21687161";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,254;Q1;72;124;603;5610;3527;600;5,95;45,24;27,27;0;7;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2013-2025";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Hardware and Architecture (Q1); Information Systems (Q1); Software (Q1)";"Computer Science"
293;19900191735;"Topics in Cognitive Science";journal;"17568765, 17568757";"Wiley-Blackwell";No;No;1,252;Q1;79;88;164;6069;612;132;3,63;68,97;47,39;2;9;United States;Northern America;"Wiley-Blackwell";"2009-2025";"Artificial Intelligence (Q1); Cognitive Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Human-Computer Interaction (Q1); Linguistics and Language (Q1)";"Computer Science; Neuroscience; Psychology; Social Sciences"
294;21100784665;"IEEE Transactions on Cognitive and Developmental Systems";journal;"23798920, 23798939";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,249;Q1;62;227;435;11677;2589;426;5,48;51,44;28,01;0;22;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2016-2025";"Artificial Intelligence (Q1); Software (Q1)";"Computer Science"
295;19202;"Mathematics of Control, Signals, and Systems";journal;"09324194, 1435568X";"Springer London";No;No;1,246;Q1;44;36;85;1355;197;84;2,05;37,64;18,42;0;3;United Kingdom;Western Europe;"Springer London";"1988-2025";"Applied Mathematics (Q1); Control and Optimization (Q1); Control and Systems Engineering (Q1); Signal Processing (Q1)";"Computer Science; Engineering; Mathematics"
296;15136;"Information Society";journal;"01972243, 10876537";"Taylor and Francis Ltd.";No;No;1,245;Q1;90;26;66;1904;332;66;3,29;73,23;48,39;1;9;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1981-1990, 1992-2025";"Cultural Studies (Q1); Information Systems (Q1); Management Information Systems (Q1); Political Science and International Relations (Q1)";"Business, Management and Accounting; Computer Science; Social Sciences"
297;21100307484;"Journal of the Association for Information Science and Technology";journal;"23301643, 23301635";"John Wiley and Sons Ltd";No;No;1,245;Q1;174;102;323;7938;1749;315;5,67;77,82;39,07;2;20;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2014-2025";"Computer Networks and Communications (Q1); Information Systems (Q1); Information Systems and Management (Q1); Library and Information Sciences (Q1)";"Computer Science; Decision Sciences; Social Sciences"
298;18643;"Journal of Computing in Civil Engineering";journal;"08873801";"American Society of Civil Engineers (ASCE)";No;No;1,244;Q1;107;54;167;3243;1208;167;6,04;60,06;27,56;0;22;United States;Northern America;"American Society of Civil Engineers (ASCE)";"1987-2025";"Civil and Structural Engineering (Q1); Computer Science Applications (Q1)";"Computer Science; Engineering"
299;145356;"Library Hi Tech News";journal;"07419058";"Emerald Group Publishing Ltd.";No;No;1,239;Q1;28;76;158;1346;1005;126;7,96;17,71;38,54;0;33;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1999-2025";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
300;19700188321;"Database : the journal of biological databases and curation";journal;"17580463";"Oxford University Press";Yes;No;1,238;Q1;88;117;303;4837;1150;303;3,09;41,34;40,40;0;26;United Kingdom;Western Europe;"Oxford University Press";"2009-2025";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Computer Science; Medicine"
301;21100875801;"npj Systems Biology and Applications";journal;"20567189";"Nature Publishing Group";Yes;No;1,236;Q1;38;148;155;9971;605;154;3,55;67,37;33,57;0;67;United Kingdom;Western Europe;"Nature Publishing Group";"2015-2025";"Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computer Science Applications (Q1); Drug Discovery (Q1); Modeling and Simulation (Q1)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Mathematics; Pharmacology, Toxicology and Pharmaceutics"
302;21101020041;"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies";journal;"24749567";"Association for Computing Machinery (ACM)";No;No;1,235;Q1;49;268;548;20165;3950;548;6,55;75,24;32,04;0;35;United States;Northern America;"Association for Computing Machinery (ACM)";"2017-2024";"Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Human-Computer Interaction (Q1)";"Computer Science"
303;18120;"ACM Transactions on Mathematical Software";journal;"15577295, 00983500";"Association for Computing Machinery (ACM)";No;No;1,234;Q1;97;29;126;1164;456;126;3,38;40,14;16,87;0;0;United States;Northern America;"Association for Computing Machinery (ACM)";"1975-2024";"Applied Mathematics (Q1); Software (Q1)";"Computer Science; Mathematics"
304;21101026939;"Revista Internacional de Tecnologia, Ciencia y Sociedad";journal;"25304895";"Global Knowledge Academics";No;No;1,231;Q1;3;0;1;0;9;1;0,00;0,00;0,00;0;0;Spain;Western Europe;"Global Knowledge Academics";"2020-2021";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Information Systems (Q1)";"Computer Science"
305;4700152237;"Biomedical Signal Processing and Control";journal;"17468108, 17468094";"Elsevier Ltd";No;No;1,229;Q1;125;1279;2782;61447;20740;2777;7,32;48,04;34,64;0;409;United Kingdom;Western Europe;"Elsevier Ltd";"2006-2025";"Biomedical Engineering (Q1); Health Informatics (Q1); Signal Processing (Q1)";"Computer Science; Engineering; Medicine"
306;21101039765;"Advanced Quantum Technologies";journal;"25119044";"John Wiley &amp; Sons Inc.";No;No;1,223;Q1;43;254;341;15809;1744;339;4,63;62,24;27,71;2;7;United States;Northern America;"John Wiley &amp; Sons Inc.";"2018-2025";"Computational Theory and Mathematics (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Mathematical Physics (Q1); Nuclear and High Energy Physics (Q1); Statistical and Nonlinear Physics (Q1)";"Computer Science; Engineering; Materials Science; Mathematics; Physics and Astronomy"
307;21100901137;"Journal of Statistical Distributions and Applications";journal;"21955832";"SpringerOpen";Yes;No;1,222;Q1;21;0;13;0;81;13;0,00;0,00;0,00;0;0;Germany;Western Europe;"SpringerOpen";"2014-2015, 2017-2021";"Computer Science Applications (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Computer Science; Decision Sciences; Mathematics"
308;21100926541;"Information and Inference";journal;"20498772";"Oxford University Press";No;No;1,220;Q1;33;39;142;2083;298;142;1,93;53,41;24,21;0;0;United States;Northern America;"Oxford University Press";"2012-2025";"Analysis (Q1); Applied Mathematics (Q1); Computational Theory and Mathematics (Q1); Numerical Analysis (Q1); Statistics and Probability (Q1)";"Computer Science; Mathematics"
309;12398;"Journal of Systems Architecture";journal;"13837621";"Elsevier B.V.";No;No;1,220;Q1;72;180;590;9826;3442;577;5,12;54,59;26,47;0;30;Netherlands;Western Europe;"Elsevier B.V.";"1996-2025";"Hardware and Architecture (Q1); Software (Q1)";"Computer Science"
310;26799;"Ad Hoc Networks";journal;"15708705";"Elsevier B.V.";No;No;1,210;Q1;115;238;488;11550;3430;482;6,74;48,53;27,13;0;69;Netherlands;Western Europe;"Elsevier B.V.";"2003-2025";"Computer Networks and Communications (Q1); Hardware and Architecture (Q1); Software (Q1)";"Computer Science"
311;19700200832;"Technology, Knowledge and Learning";journal;"22111662, 22111670";"Springer Science + Business Media";No;No;1,210;Q1;45;149;207;10226;1460;206;6,74;68,63;44,61;1;66;United States;Northern America;"Springer Science + Business Media";"2011-2025";"Computational Theory and Mathematics (Q1); Computer Science Applications (Q1); Education (Q1); Engineering (miscellaneous) (Q1); Human-Computer Interaction (Q1); Mathematics (miscellaneous) (Q1); Theoretical Computer Science (Q1)";"Computer Science; Engineering; Mathematics; Social Sciences"
312;23616;"AI and Society";journal;"09515666, 14355655";"Springer London";No;No;1,208;Q1;55;551;485;26690;3069;433;6,03;48,44;35,24;48;94;United Kingdom;Western Europe;"Springer London";"1987-1996, 1998-2025";"Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Philosophy (Q1)";"Arts and Humanities; Computer Science"
313;26803;"Journal of Pragmatics";journal;"03782166";"Elsevier B.V.";No;No;1,206;Q1;128;118;594;7067;1541;563;2,01;59,89;53,45;0;6;Netherlands;Western Europe;"Elsevier B.V.";"1977-2025";"Artificial Intelligence (Q1); Linguistics and Language (Q1)";"Computer Science; Social Sciences"
314;21100854641;"IEEE Transactions on Signal and Information Processing over Networks";journal;"2373776X";"Institute of Electrical and Electronics Engineers Inc.";No;No;1,201;Q1;44;75;206;3422;980;206;5,13;45,63;30,23;0;1;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2015-2025";"Computer Networks and Communications (Q1); Information Systems (Q1); Signal Processing (Q1)";"Computer Science"
315;144702;"Virtual Reality";journal;"13594338";"Springer London";Yes;No;1,198;Q1;73;170;417;11155;3142;416;6,51;65,62;34,45;0;26;United Kingdom;Western Europe;"Springer London";"1995, 1998-2000, 2002, 2004-2025";"Computer Graphics and Computer-Aided Design (Q1); Human-Computer Interaction (Q1); Software (Q1)";"Computer Science"
316;17929;"BMC Bioinformatics";journal;"14712105";"BioMed Central Ltd";Yes;No;1,190;Q1;251;387;1667;16471;6832;1664;3,92;42,56;32,36;1;98;United Kingdom;Western Europe;"BioMed Central Ltd";"2000-2025";"Applied Mathematics (Q1); Biochemistry (Q1); Computer Science Applications (Q1); Molecular Biology (Q2); Structural Biology (Q2)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Mathematics"
317;21100901156;"Journal of Reliable Intelligent Environments";journal;"21994668, 21994676";"Springer International Publishing AG";No;No;1,190;Q1;29;33;86;1778;695;74;6,67;53,88;22,43;0;9;Switzerland;Western Europe;"Springer International Publishing AG";"2015-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Science Applications (Q1); Computer Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q2)";"Computer Science; Energy"
318;25563;"Systems and Control Letters";journal;"01676911";"Elsevier B.V.";No;No;1,189;Q1;154;209;456;7130;1298;454;2,72;34,11;28,07;0;7;Netherlands;Western Europe;"Elsevier B.V.";"1981-2025";"Computer Science (miscellaneous) (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Mechanical Engineering (Q1)";"Computer Science; Engineering"
319;21100804573;"Information Processing in Agriculture";journal;"20970153, 22143173";"China Agricultural University";Yes;Yes;1,188;Q1;62;62;140;3293;1447;140;9,39;53,11;30,08;1;26;China;Asiatic Region;"China Agricultural University";"2014-2025";"Agronomy and Crop Science (Q1); Animal Science and Zoology (Q1); Aquatic Science (Q1); Computer Science Applications (Q1); Forestry (Q1)";"Agricultural and Biological Sciences; Computer Science"
320;5800173377;"ACM Transactions on Knowledge Discovery from Data";journal;"15564681";"Association for Computing Machinery (ACM)";No;No;1,186;Q1;77;203;408;12408;2454;407;5,38;61,12;29,93;1;16;United States;Northern America;"Association for Computing Machinery (ACM)";"2007-2025";"Computer Science (miscellaneous) (Q1)";"Computer Science"
321;13646;"VLDB Journal";journal;"10668888, 0949877X";"Springer New York";No;No;1,176;Q1;104;80;159;5264;876;153;5,97;65,80;24,31;0;2;United States;Northern America;"Springer New York";"1992-2025";"Hardware and Architecture (Q1); Information Systems (Q1)";"Computer Science"
322;19420;"International Journal of Human-Computer Interaction";journal;"15327590, 10447318";"Taylor and Francis Ltd.";No;No;1,175;Q1;100;1135;542;88506;4659;533;8,21;77,98;40,65;5;157;United States;Northern America;"Taylor and Francis Ltd.";"1989-1995, 1999-2025";"Computer Science Applications (Q1); Human Factors and Ergonomics (Q1); Human-Computer Interaction (Q1)";"Computer Science; Social Sciences"
323;26811;"Computer Networks";journal;"13891286";"Elsevier B.V.";No;No;1,170;Q1;166;625;1364;32403;9014;1334;5,99;51,84;28,02;0;140;Netherlands;Western Europe;"Elsevier B.V.";"1978, 1980, 1990, 1996-2025";"Computer Networks and Communications (Q1)";"Computer Science"
324;21101048344;"Granular Computing";journal;"23644974, 23644966";"Springer Nature";No;No;1,169;Q1;51;75;236;4494;1565;235;7,33;59,92;36,36;0;11;Switzerland;Western Europe;"Springer Nature";"2016-2024";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Information Systems (Q1)";"Computer Science"
325;21101188900;"Cyber Security and Applications";journal;"27729184";"KeAi Communications Co.";Yes;No;1,168;Q1;13;23;20;1413;227;20;11,35;61,43;38,71;0;5;China;Asiatic Region;"KeAi Communications Co.";"2023-2025";"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Computer Science (miscellaneous) (Q1); Information Systems (Q1)";"Computer Science"
326;18079;"Robotics and Autonomous Systems";journal;"09218890";"Elsevier B.V.";No;No;1,168;Q1;148;187;485;9617;3305;482;6,87;51,43;19,95;0;41;Netherlands;Western Europe;"Elsevier B.V.";"1988-2025";"Computer Science Applications (Q1); Control and Systems Engineering (Q1); Mathematics (miscellaneous) (Q1); Software (Q1)";"Computer Science; Engineering; Mathematics"
327;26199;"ACM Transactions on Computer-Human Interaction";journal;"10730516, 15577325";"Association for Computing Machinery (ACM)";No;No;1,165;Q1;110;69;212;8166;1877;211;8,73;118,35;46,93;0;7;United States;Northern America;"Association for Computing Machinery (ACM)";"1994-1995, 1997-2025";"Human-Computer Interaction (Q1)";"Computer Science"
328;21100836334;"Publications";journal;"23046775";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;1,165;Q1;30;49;155;2415;1051;148;3,14;49,29;36,62;0;8;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2013-2024";"Business and International Management (Q1); Communication (Q1); Computer Science Applications (Q1); Library and Information Sciences (Q1); Media Technology (Q1)";"Business, Management and Accounting; Computer Science; Engineering; Social Sciences"
329;21100979314;"ACM Transactions on Human-Robot Interaction";journal;"25739522";"Association for Computing Machinery (ACM)";No;No;1,164;Q1;30;77;138;6684;918;136;6,45;86,81;41,46;0;12;United States;Northern America;"Association for Computing Machinery (ACM)";"2018-2025";"Artificial Intelligence (Q1); Human-Computer Interaction (Q1)";"Computer Science"
330;19500157063;"International Journal of Social Robotics";journal;"18754805, 18754791";"Springer Verlag";No;No;1,157;Q1;85;152;400;10082;2620;386;5,51;66,33;36,90;3;30;Germany;Western Europe;"Springer Verlag";"2009-2025";"Computer Science (miscellaneous) (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Human-Computer Interaction (Q1); Philosophy (Q1); Social Psychology (Q1)";"Arts and Humanities; Computer Science; Engineering; Psychology"
331;25033;"IEEE Transactions on Computers";journal;"00189340";"IEEE Computer Society";No;No;1,156;Q1;145;257;709;10038;3256;702;4,42;39,06;26,05;0;23;United States;Northern America;"IEEE Computer Society";"1968-2025";"Computational Theory and Mathematics (Q1); Hardware and Architecture (Q1); Software (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
332;26801;"Computational Linguistics";journal;"08912017, 15309312";"";Yes;Yes;1,154;Q1;118;17;94;2281;1107;92;10,41;134,18;29,41;1;0;United States;Northern America;"";"1985, 1996-2024";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Linguistics and Language (Q1)";"Computer Science; Social Sciences"
333;4700152784;"Journal of Internet Commerce";journal;"1533287X, 15332861";"Routledge";No;No;1,154;Q1;45;18;63;1762;532;62;7,58;97,89;55,10;0;3;United States;Northern America;"Routledge";"2002-2024";"Human-Computer Interaction (Q1); Management of Technology and Innovation (Q1)";"Business, Management and Accounting; Computer Science"
334;24222;"Scientometrics";journal;"15882861, 01389130";"Akademiai Kiado";No;No;1,152;Q1;154;338;1092;18506;4977;996;3,89;54,75;37,82;9;62;Hungary;Eastern Europe;"Akademiai Kiado";"1978-2025";"Computer Science Applications (Q1); Library and Information Sciences (Q1); Social Sciences (miscellaneous) (Q1)";"Computer Science; Social Sciences"
335;144908;"Library Hi Tech";journal;"07378831";"Emerald Group Publishing Ltd.";No;No;1,150;Q1;55;144;244;9981;1815;228;7,68;69,31;40,98;0;46;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1983-2025";"Information Systems (Q1); Library and Information Sciences (Q1)";"Computer Science; Social Sciences"
336;24775;"Machine Learning";journal;"15730565, 08856125";"Springer Netherlands";No;No;1,147;Q1;175;287;411;15391;2565;408;4,19;53,63;23,46;0;16;Netherlands;Western Europe;"Springer Netherlands";"1986-2025";"Artificial Intelligence (Q1); Software (Q1)";"Computer Science"
337;13675;"Communications of the ACM";journal;"15577317, 00010782";"Association for Computing Machinery (ACM)";No;No;1,146;Q1;249;218;934;2864;4930;644;4,58;13,14;26,05;2;10;United States;Northern America;"Association for Computing Machinery (ACM)";"1958-2025";"Computer Science (miscellaneous) (Q1)";"Computer Science"
338;21101095931;"Complex and Intelligent Systems";journal;"21994536, 21986053";"Springer International Publishing AG";Yes;No;1,143;Q1;59;461;941;23533;7019;930;6,87;51,05;32,22;1;58;Switzerland;Western Europe;"Springer International Publishing AG";"2019-2025";"Artificial Intelligence (Q1); Computational Mathematics (Q1); Engineering (miscellaneous) (Q1); Information Systems (Q1)";"Computer Science; Engineering; Mathematics"
339;24303;"Computer Standards and Interfaces";journal;"09205489";"Elsevier B.V.";No;No;1,142;Q1;80;82;161;4085;1094;161;7,17;49,82;25,62;0;10;Netherlands;Western Europe;"Elsevier B.V.";"1986-2025";"Computer Science Applications (Q1); Hardware and Architecture (Q1); Law (Q1); Software (Q1)";"Computer Science; Social Sciences"
340;24305;"International Journal of Intelligent Systems";journal;"1098111X, 08848173";"John Wiley and Sons Inc";No;No;1,141;Q1;117;94;950;4974;5598;948;5,36;52,91;31,69;0;24;United Kingdom;Western Europe;"John Wiley and Sons Inc";"1986-2024";"Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Software (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
341;21101167511;"Advanced Intelligent Systems";journal;"26404567";"John Wiley and Sons Inc";Yes;No;1,140;Q1;21;379;301;24865;1860;298;6,18;65,61;25,79;0;83;United States;Northern America;"John Wiley and Sons Inc";"2020, 2023-2025";"Artificial Intelligence (Q1); Computer Vision and Pattern Recognition (Q1); Control and Systems Engineering (Q1); Electrical and Electronic Engineering (Q1); Human-Computer Interaction (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1)";"Computer Science; Engineering; Materials Science"
342;28070;"Combinatorics Probability and Computing";journal;"09635483, 14692163";"Cambridge University Press";No;No;1,133;Q1;58;62;130;1675;133;130;1,11;27,02;20,25;0;0;United Kingdom;Western Europe;"Cambridge University Press";"1992-2025";"Applied Mathematics (Q1); Computational Theory and Mathematics (Q1); Statistics and Probability (Q1); Theoretical Computer Science (Q1)";"Computer Science; Mathematics"
343;21100285028;"IEEE Transactions on Human-Machine Systems";journal;"21682291";"IEEE Systems, Man, and Cybernetics Society";No;No;1,132;Q1;143;74;294;3855;1740;293;5,53;52,09;26,67;0;11;United States;Northern America;"IEEE Systems, Man, and Cybernetics Society";"2013-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Human Factors and Ergonomics (Q1); Human-Computer Interaction (Q1); Signal Processing (Q1)";"Computer Science; Engineering; Social Sciences"
344;23604;"Computer Methods and Programs in Biomedicine";journal;"01692607, 18727565";"Elsevier Ireland Ltd";No;No;1,130;Q1;150;484;1648;24147;10702;1641;6,09;49,89;32,50;1;158;Ireland;Western Europe;"Elsevier Ireland Ltd";"1985-2025";"Computer Science Applications (Q1); Health Informatics (Q1); Software (Q1)";"Computer Science; Medicine"
